time,open,high,low,close,tick_volume,spread,real_volume
2026.06.01 15:53:00,4470.47,4471.57,4470.44,4471.56,265,35,0
2026.06.01 15:54:00,4471.57,4472.1,4470.91,4471.06,249,35,0
2026.06.01 15:55:00,4471.04,4472.38,4471.01,4472.05,241,35,0
2026.06.01 15:56:00,4472.04,4474.77,4471.27,4474.53,302,35,0
2026.06.01 15:57:00,4474.53,4475.3,4473.68,4474.67,308,35,0
2026.06.01 15:58:00,4474.67,4474.67,4472.76,4473.57,293,35,0
2026.06.01 15:59:00,4473.65,4474.75,4473.28,4474.06,238,35,0
2026.06.01 16:00:00,4474.06,4478.37,4473.83,4477.0,329,35,0
2026.06.01 16:01:00,4476.99,4477.01,4473.58,4474.35,307,35,0
2026.06.01 16:02:00,4474.3,4474.65,4473.61,4474.14,249,35,0
2026.06.01 16:03:00,4474.33,4474.34,4472.46,4472.7,289,35,0
2026.06.01 16:04:00,4472.71,4474.07,4472.71,4473.21,230,35,0
2026.06.01 16:05:00,4473.23,4474.16,4472.93,4474.01,204,35,0
2026.06.01 16:06:00,4474.02,4474.16,4470.97,4471.46,278,35,0
2026.06.01 16:07:00,4471.46,4472.01,4470.82,4471.5,249,35,0
2026.06.01 16:08:00,4471.52,4471.84,4468.54,4468.92,279,35,0
2026.06.01 16:09:00,4468.9,4469.21,4468.28,4468.67,304,35,0
2026.06.01 16:10:00,4468.68,4468.74,4465.3,4466.4,344,35,0
2026.06.01 16:11:00,4466.4,4468.05,4465.12,4467.65,339,35,0
2026.06.01 16:12:00,4467.65,4467.89,4466.78,4467.87,276,35,0
2026.06.01 16:13:00,4467.86,4468.77,4467.67,4468.43,269,35,0
2026.06.01 16:14:00,4468.5,4468.5,4467.12,4467.12,249,35,0
2026.06.01 16:15:00,4467.03,4467.37,4466.1,4466.29,282,35,0
2026.06.01 16:16:00,4466.28,4466.72,4465.53,4465.53,258,35,0
2026.06.01 16:17:00,4465.55,4466.32,4463.63,4464.09,315,35,0
2026.06.01 16:18:00,4464.03,4464.57,4462.99,4463.84,285,35,0
2026.06.01 16:19:00,4463.85,4466.75,4463.83,4466.68,288,35,0
2026.06.01 16:20:00,4466.71,4467.17,4465.64,4466.05,287,35,0
2026.06.01 16:21:00,4466.03,4466.1,4465.2,4465.35,215,35,0
2026.06.01 16:22:00,4465.33,4465.74,4464.57,4465.36,265,35,0
2026.06.01 16:23:00,4465.36,4466.79,4465.18,4466.79,240,35,0
2026.06.01 16:24:00,4466.8,4468.7,4466.51,4468.17,249,35,0
2026.06.01 16:25:00,4468.16,4468.82,4467.74,4467.76,220,35,0
2026.06.01 16:26:00,4467.76,4468.27,4467.48,4467.74,243,35,0
2026.06.01 16:27:00,4467.73,4467.76,4466.75,4467.63,239,35,0
2026.06.01 16:28:00,4467.65,4467.76,4466.83,4466.92,236,35,0
2026.06.01 16:29:00,4466.94,4469.22,4466.69,4467.88,288,35,0
2026.06.01 16:30:00,4467.85,4470.92,4467.85,4469.11,329,35,0
2026.06.01 16:31:00,4469.15,4469.35,4468.27,4468.78,244,35,0
2026.06.01 16:32:00,4468.29,4470.82,4468.1,4469.72,247,35,0
2026.06.01 16:33:00,4469.72,4471.89,4469.19,4469.76,257,35,0
2026.06.01 16:34:00,4469.76,4469.76,4468.66,4469.35,253,35,0
2026.06.01 16:35:00,4469.34,4470.4,4468.16,4470.33,265,35,0
2026.06.01 16:36:00,4470.22,4471.01,4467.79,4467.89,266,35,0
2026.06.01 16:37:00,4467.95,4468.88,4467.78,4468.69,296,35,0
2026.06.01 16:38:00,4468.69,4469.47,4467.8,4469.41,250,35,0
2026.06.01 16:39:00,4469.34,4469.77,4468.55,4469.13,248,35,0
2026.06.01 16:40:00,4468.98,4469.9,4468.98,4469.13,235,35,0
2026.06.01 16:41:00,4469.13,4469.17,4467.71,4468.86,250,35,0
2026.06.01 16:42:00,4468.84,4469.96,4468.84,4469.39,236,35,0
2026.06.01 16:43:00,4469.5,4469.89,4468.43,4468.47,213,35,0
2026.06.01 16:44:00,4468.44,4468.86,4467.82,4467.96,185,35,0
2026.06.01 16:45:00,4467.98,4468.72,4467.36,4468.61,247,35,0
2026.06.01 16:46:00,4468.6,4469.06,4467.68,4468.95,227,35,0
2026.06.01 16:47:00,4468.89,4470.29,4468.65,4470.16,254,35,0
2026.06.01 16:48:00,4470.19,4471.44,4470.19,4471.2,261,35,0
2026.06.01 16:49:00,4471.22,4471.85,4470.56,4471.79,228,35,0
2026.06.01 16:50:00,4471.79,4473.58,4471.64,4472.44,308,35,0
2026.06.01 16:51:00,4472.44,4473.71,4472.15,4473.71,273,35,0
2026.06.01 16:52:00,4473.72,4476.35,4473.72,4476.29,349,35,0
2026.06.01 16:53:00,4476.05,4478.7,4476.05,4477.31,370,35,0
2026.06.01 16:54:00,4477.32,4480.66,4476.78,4479.76,350,35,0
2026.06.01 16:55:00,4479.81,4482.16,4478.83,4480.15,381,35,0
2026.06.01 16:56:00,4479.92,4481.27,4479.28,4480.36,333,35,0
2026.06.01 16:57:00,4480.33,4480.97,4478.49,4478.61,277,35,0
2026.06.01 16:58:00,4478.6,4479.56,4478.51,4479.22,273,35,0
2026.06.01 16:59:00,4479.14,4480.86,4479.03,4480.05,277,35,0
2026.06.01 17:00:00,4480.19,4480.84,4478.45,4479.68,333,35,0
2026.06.01 17:01:00,4479.67,4479.89,4476.86,4479.06,328,36,0
2026.06.01 17:02:00,4479.04,4479.86,4478.47,4479.19,293,43,0
2026.06.01 17:03:00,4479.15,4479.41,4475.49,4476.22,307,43,0
2026.06.01 17:04:00,4476.39,4477.3,4476.01,4476.19,298,43,0
2026.06.01 17:05:00,4476.2,4477.31,4475.65,4475.93,233,43,0
2026.06.01 17:06:00,4475.93,4476.28,4474.17,4474.2,253,43,0
2026.06.01 17:07:00,4474.21,4474.32,4472.51,4472.84,309,44,0
2026.06.01 17:08:00,4472.91,4473.38,4471.9,4472.56,296,43,0
2026.06.01 17:09:00,4472.43,4473.49,4471.37,4473.29,282,35,0
2026.06.01 17:10:00,4473.33,4474.75,4473.06,4474.33,261,43,0
2026.06.01 17:11:00,4474.35,4475.23,4474.23,4474.68,190,43,0
2026.06.01 17:12:00,4474.67,4475.25,4474.49,4475.01,186,43,0
2026.06.01 17:13:00,4475.02,4475.94,4474.91,4475.25,222,43,0
2026.06.01 17:14:00,4475.27,4475.5,4474.59,4474.88,210,43,0
2026.06.01 17:15:00,4474.87,4475.64,4474.46,4475.37,220,43,0
2026.06.01 17:16:00,4475.39,4475.51,4474.34,4474.4,203,43,0
2026.06.01 17:17:00,4474.42,4475.22,4473.98,4474.02,199,43,0
2026.06.01 17:18:00,4474.01,4474.13,4473.28,4473.8,214,43,0
2026.06.01 17:19:00,4473.83,4475.67,4473.82,4475.65,210,43,0
2026.06.01 17:20:00,4475.66,4475.93,4474.83,4475.81,200,35,0
2026.06.01 17:21:00,4475.82,4476.42,4475.79,4476.1,209,36,0
2026.06.01 17:22:00,4476.1,4476.5,4475.93,4476.29,205,38,0
2026.06.01 17:23:00,4476.3,4476.44,4475.32,4475.76,210,42,0
2026.06.01 17:24:00,4475.8,4476.46,4473.91,4475.0,251,42,0
2026.06.01 17:25:00,4474.99,4475.78,4474.54,4475.48,247,42,0
2026.06.01 17:26:00,4475.5,4476.76,4475.43,4476.51,222,42,0
2026.06.01 17:27:00,4476.64,4476.92,4476.1,4476.46,173,42,0
2026.06.01 17:28:00,4476.48,4476.54,4475.49,4475.71,191,42,0
2026.06.01 17:29:00,4475.76,4482.63,4472.18,4482.54,377,42,0
2026.06.01 17:30:00,4482.68,4485.38,4480.21,4484.05,460,35,0
2026.06.01 17:31:00,4484.05,4485.08,4482.61,4483.93,412,42,0
2026.06.01 17:32:00,4483.95,4484.31,4480.94,4481.68,332,42,0
2026.06.01 17:33:00,4481.74,4482.82,4481.16,4481.93,307,42,0
2026.06.01 17:34:00,4481.93,4482.04,4480.41,4481.15,318,42,0
2026.06.01 17:35:00,4481.16,4482.09,4480.46,4481.9,309,42,0
2026.06.01 17:36:00,4481.96,4483.04,4481.96,4482.34,285,42,0
2026.06.01 17:37:00,4482.41,4484.49,4482.29,4482.58,289,35,0
2026.06.01 17:38:00,4482.59,4483.17,4481.55,4482.25,287,43,0
2026.06.01 17:39:00,4482.24,4483.45,4481.96,4482.74,259,43,0
2026.06.01 17:40:00,4482.74,4485.21,4482.74,4484.61,299,43,0
2026.06.01 17:41:00,4484.62,4484.63,4483.31,4483.83,281,43,0
2026.06.01 17:42:00,4483.83,4484.72,4482.86,4484.64,265,43,0
2026.06.01 17:43:00,4484.62,4490.55,4483.82,4488.93,390,41,0
2026.06.01 17:44:00,4488.84,4491.32,4487.51,4491.3,387,43,0
2026.06.01 17:45:00,4491.31,4494.63,4491.21,4494.54,358,43,0
2026.06.01 17:46:00,4494.49,4495.47,4493.33,4495.09,320,35,0
2026.06.01 17:47:00,4494.98,4495.01,4493.98,4494.33,309,43,0
2026.06.01 17:48:00,4494.33,4494.51,4492.65,4493.32,287,35,0
2026.06.01 17:49:00,4493.32,4494.08,4491.12,4491.36,289,43,0
2026.06.01 17:50:00,4491.4,4491.69,4489.02,4491.69,301,43,0
2026.06.01 17:51:00,4491.77,4492.01,4490.54,4490.72,259,43,0
2026.06.01 17:52:00,4490.69,4490.98,4489.84,4490.29,252,43,0
2026.06.01 17:53:00,4490.29,4490.98,4489.48,4490.59,235,43,0
2026.06.01 17:54:00,4490.6,4491.44,4490.43,4491.27,255,43,0
2026.06.01 17:55:00,4491.28,4491.52,4490.82,4490.91,234,43,0
2026.06.01 17:56:00,4490.92,4491.0,4489.66,4490.36,222,43,0
2026.06.01 17:57:00,4490.37,4490.45,4488.93,4488.93,228,43,0
2026.06.01 17:58:00,4488.99,4489.04,4487.34,4487.52,258,43,0
2026.06.01 17:59:00,4487.53,4488.41,4487.38,4487.42,218,43,0
2026.06.01 18:00:00,4487.48,4488.24,4486.94,4487.66,215,43,0
2026.06.01 18:01:00,4487.66,4487.99,4486.76,4487.52,234,43,0
2026.06.01 18:02:00,4487.56,4488.38,4487.22,4487.25,198,43,0
2026.06.01 18:03:00,4487.25,4487.29,4486.24,4486.62,208,43,0
2026.06.01 18:04:00,4486.62,4486.94,4486.21,4486.7,216,35,0
2026.06.01 18:05:00,4486.74,4488.13,4486.6,4487.5,195,43,0
2026.06.01 18:06:00,4487.5,4488.44,4487.5,4488.15,195,43,0
2026.06.01 18:07:00,4488.15,4488.27,4487.43,4488.17,204,43,0
2026.06.01 18:08:00,4488.17,4488.4,4487.72,4488.05,164,43,0
2026.06.01 18:09:00,4488.03,4490.09,4487.72,4489.7,217,43,0
2026.06.01 18:10:00,4489.7,4489.89,4489.12,4489.17,158,43,0
2026.06.01 18:11:00,4489.17,4489.41,4488.11,4488.12,177,43,0
2026.06.01 18:12:00,4488.12,4488.86,4488.0,4488.82,163,43,0
2026.06.01 18:13:00,4488.82,4489.27,4487.97,4488.21,177,43,0
2026.06.01 18:14:00,4488.2,4488.62,4488.2,4488.45,138,43,0
2026.06.01 18:15:00,4488.45,4488.61,4486.91,4486.91,198,43,0
2026.06.01 18:16:00,4486.91,4487.52,4486.61,4486.9,186,43,0
2026.06.01 18:17:00,4486.91,4487.48,4486.7,4487.34,180,43,0
2026.06.01 18:18:00,4487.34,4488.01,4487.25,4487.88,143,43,0
2026.06.01 18:19:00,4487.88,4489.22,4487.88,4489.1,186,43,0
2026.06.01 18:20:00,4489.11,4489.93,4488.69,4489.92,167,43,0
2026.06.01 18:21:00,4489.91,4489.96,4489.4,4489.67,153,43,0
2026.06.01 18:22:00,4489.68,4489.86,4488.7,4488.97,174,43,0
2026.06.01 18:23:00,4488.97,4488.98,4488.45,4488.48,140,43,0
2026.06.01 18:24:00,4488.48,4489.1,4488.48,4489.1,147,43,0
2026.06.01 18:25:00,4489.09,4489.11,4488.2,4488.56,174,43,0
2026.06.01 18:26:00,4488.55,4488.55,4487.76,4488.31,160,43,0
2026.06.01 18:27:00,4488.31,4489.23,4487.54,4487.91,234,43,0
2026.06.01 18:28:00,4487.91,4488.26,4486.28,4486.32,185,43,0
2026.06.01 18:29:00,4486.43,4487.15,4486.42,4486.57,212,43,0
2026.06.01 18:30:00,4486.78,4487.16,4485.14,4485.54,192,43,0
2026.06.01 18:31:00,4485.54,4485.8,4484.77,4485.13,187,43,0
2026.06.01 18:32:00,4485.12,4485.81,4484.99,4485.45,158,43,0
2026.06.01 18:33:00,4485.45,4486.66,4485.03,4486.05,138,43,0
2026.06.01 18:34:00,4486.03,4486.38,4485.74,4485.97,149,43,0
2026.06.01 18:35:00,4485.98,4486.23,4485.84,4486.06,148,43,0
2026.06.01 18:36:00,4486.06,4487.16,4485.87,4487.13,133,43,0
2026.06.01 18:37:00,4487.12,4487.12,4486.45,4486.47,128,43,0
2026.06.01 18:38:00,4486.45,4486.75,4486.22,4486.39,130,43,0
2026.06.01 18:39:00,4486.4,4486.5,4485.68,4486.01,137,43,0
2026.06.01 18:40:00,4486.0,4486.57,4486.0,4486.25,149,43,0
2026.06.01 18:41:00,4486.26,4487.6,4485.73,4487.6,181,43,0
2026.06.01 18:42:00,4487.6,4488.15,4486.96,4487.14,163,43,0
2026.06.01 18:43:00,4487.13,4487.57,4487.13,4487.4,120,43,0
2026.06.01 18:44:00,4487.38,4488.16,4486.88,4487.95,138,43,0
2026.06.01 18:45:00,4487.89,4488.13,4487.67,4487.74,122,43,0
2026.06.01 18:46:00,4487.63,4488.22,4487.44,4488.04,142,43,0
2026.06.01 18:47:00,4488.04,4488.46,4487.79,4488.15,154,43,0
2026.06.01 18:48:00,4488.15,4488.29,4487.76,4487.85,138,43,0
2026.06.01 18:49:00,4487.9,4488.5,4487.86,4488.45,124,43,0
2026.06.01 18:50:00,4488.46,4488.46,4487.41,4487.7,177,43,0
