time,open,high,low,close,volume,spread
2026.04.13 04:00:00,4718.07,4739.91,4707.96,4733.68,54158,35
2026.04.13 08:00:00,4733.61,4738.51,4703.35,4706.92,56399,35
2026.04.13 12:00:00,4706.83,4745.39,4699.85,4714.47,82477,35
2026.04.13 16:00:00,4714.46,4749.8,4709.23,4741.07,69417,35
2026.04.13 20:00:00,4741.07,4765.7,4738.1,4757.47,27019,35
2026.04.14 00:00:00,4757.65,4777.14,4751.62,4767.94,59149,35
2026.04.14 04:00:00,4768.25,4796.35,4757.95,4777.13,59004,35
2026.04.14 08:00:00,4776.97,4789.89,4752.29,4774.99,63321,35
2026.04.14 12:00:00,4774.97,4817.71,4762.17,4808.08,86138,35
2026.04.14 16:00:00,4808.17,4846.14,4805.0,4844.7,64845,35
2026.04.14 20:00:00,4844.9,4850.48,4833.04,4837.01,28362,35
2026.04.15 00:00:00,4837.1,4871.25,4816.76,4823.93,62795,35
2026.04.15 04:00:00,4823.95,4830.37,4803.53,4810.97,57782,35
2026.04.15 08:00:00,4810.85,4821.08,4786.54,4812.57,65993,35
2026.04.15 12:00:00,4812.56,4830.69,4786.56,4801.75,78470,35
2026.04.15 16:00:00,4801.7,4812.91,4790.02,4795.67,62151,35
2026.04.15 20:00:00,4795.79,4826.9,4787.37,4823.26,26916,35
2026.04.16 00:00:00,4823.29,4837.61,4811.4,4823.9,54800,35
2026.04.16 04:00:00,4823.81,4838.28,4814.45,4821.02,54809,35
2026.04.16 08:00:00,4821.09,4822.56,4805.0,4822.12,56797,35
2026.04.16 12:00:00,4822.12,4823.87,4772.7,4806.88,81626,35
2026.04.16 16:00:00,4806.9,4809.79,4781.19,4793.58,69470,35
2026.04.16 20:00:00,4793.4,4798.03,4786.15,4791.67,23593,35
2026.04.17 00:00:00,4791.59,4801.19,4767.52,4793.18,53060,35
2026.04.17 04:00:00,4793.09,4806.06,4778.57,4784.28,50982,35
2026.04.17 08:00:00,4784.25,4812.01,4780.96,4799.13,52440,35
2026.04.17 12:00:00,4799.22,4889.19,4797.39,4867.36,88781,35
2026.04.17 16:00:00,4867.36,4873.36,4852.45,4854.33,65458,35
2026.04.17 20:00:00,4854.43,4855.29,4830.21,4831.75,12058,35
2026.04.19 20:00:00,4765.68,4795.07,4736.97,4755.13,34027,35
2026.04.20 00:00:00,4755.16,4814.29,4745.18,4791.09,67276,35
2026.04.20 04:00:00,4791.12,4805.72,4779.29,4789.69,62802,35
2026.04.20 08:00:00,4789.68,4810.88,4783.51,4810.48,60474,35
2026.04.20 12:00:00,4810.51,4827.76,4792.76,4799.63,90547,35
2026.04.20 16:00:00,4799.63,4821.33,4792.67,4814.17,58985,35
2026.04.20 20:00:00,4814.16,4832.98,4812.06,4821.66,25611,35
2026.04.21 00:00:00,4822.16,4830.5,4792.69,4796.92,55690,35
2026.04.21 04:00:00,4796.92,4797.75,4772.63,4786.09,57698,35
2026.04.21 08:00:00,4786.13,4797.76,4774.7,4794.56,57497,35
2026.04.21 12:00:00,4794.59,4796.92,4723.62,4741.52,96931,35
2026.04.21 16:00:00,4741.64,4746.52,4668.52,4679.34,85799,35
2026.04.21 20:00:00,4679.16,4740.42,4668.78,4738.06,35208,35
2026.04.22 00:00:00,4738.07,4764.9,4735.84,4758.21,51576,35
2026.04.22 04:00:00,4758.26,4772.35,4752.04,4760.51,51031,35
2026.04.22 08:00:00,4760.57,4762.49,4745.91,4750.28,56030,35
2026.04.22 12:00:00,4750.43,4760.68,4724.77,4727.55,81450,35
2026.04.22 16:00:00,4727.88,4749.47,4723.86,4740.0,60888,35
2026.04.22 20:00:00,4740.1,4745.68,4723.11,4727.78,24723,35
2026.04.23 00:00:00,4727.79,4753.8,4693.96,4703.85,81015,35
2026.04.23 04:00:00,4703.85,4721.07,4691.81,4718.85,64086,35
2026.04.23 08:00:00,4718.59,4724.78,4684.09,4720.49,70907,35
2026.04.23 12:00:00,4720.53,4742.88,4716.64,4720.29,92218,35
2026.04.23 16:00:00,4720.31,4737.04,4664.05,4696.02,90628,35
2026.04.23 20:00:00,4695.92,4700.7,4686.26,4695.25,29071,35
2026.04.24 00:00:00,4695.68,4710.95,4668.66,4672.12,70067,35
2026.04.24 04:00:00,4671.93,4695.38,4657.62,4694.44,62896,35
2026.04.24 08:00:00,4694.37,4717.34,4674.64,4706.89,68561,35
2026.04.24 12:00:00,4706.89,4740.02,4689.82,4726.97,92684,35
2026.04.24 16:00:00,4726.56,4729.83,4713.62,4716.27,67090,35
2026.04.24 20:00:00,4716.09,4717.28,4705.01,4710.28,9213,42
2026.04.26 20:00:00,4691.5,4700.14,4674.76,4680.15,23190,35
2026.04.27 00:00:00,4680.14,4729.31,4672.06,4724.06,66002,35
2026.04.27 04:00:00,4723.93,4730.08,4708.64,4713.24,55484,35
2026.04.27 08:00:00,4713.28,4714.72,4699.21,4704.73,59441,35
2026.04.27 12:00:00,4704.76,4712.51,4667.17,4669.96,87930,35
2026.04.27 16:00:00,4669.96,4685.93,4667.32,4680.57,60977,35
2026.04.27 20:00:00,4680.66,4694.92,4677.26,4691.67,19601,35
2026.04.28 00:00:00,4691.75,4701.12,4665.71,4670.79,54670,35
2026.04.28 04:00:00,4670.76,4671.14,4620.45,4633.05,63652,35
2026.04.28 08:00:00,4632.93,4635.16,4555.15,4562.59,73193,35
2026.04.28 12:00:00,4562.46,4599.97,4554.89,4586.54,89715,35
2026.04.28 16:00:00,4586.39,4601.63,4577.92,4595.54,63008,35
2026.04.28 20:00:00,4595.52,4599.42,4587.81,4595.56,21296,35
2026.04.29 00:00:00,4595.57,4610.44,4576.19,4595.31,66255,35
2026.04.29 04:00:00,4595.32,4607.56,4567.21,4567.78,61049,35
2026.04.29 08:00:00,4567.78,4580.7,4551.36,4561.63,70540,35
2026.04.29 12:00:00,4561.62,4568.88,4510.06,4547.68,94236,35
2026.04.29 16:00:00,4547.74,4564.84,4517.68,4546.85,87778,35
2026.04.29 20:00:00,4546.71,4562.07,4539.2,4561.63,37284,35
2026.04.30 00:00:00,4561.75,4582.35,4555.46,4556.0,69718,35
2026.04.30 04:00:00,4556.0,4605.65,4540.75,4598.34,71752,35
2026.04.30 08:00:00,4598.38,4646.6,4597.21,4630.02,78636,35
2026.04.30 12:00:00,4630.05,4645.86,4609.43,4615.19,88155,35
2026.04.30 16:00:00,4615.18,4627.01,4605.31,4617.12,66053,35
2026.04.30 20:00:00,4616.92,4634.13,4615.32,4626.39,27890,35
2026.05.01 00:00:00,4626.31,4636.11,4613.79,4626.6,50316,35
2026.05.01 04:00:00,4626.6,4628.77,4575.82,4578.18,55011,35
2026.05.01 08:00:00,4578.14,4582.57,4559.97,4578.61,55546,35
2026.05.01 12:00:00,4578.2,4660.13,4574.76,4643.17,87529,35
2026.05.01 16:00:00,4643.1,4649.98,4608.68,4610.65,66564,35
2026.05.01 20:00:00,4610.72,4616.96,4607.15,4614.34,9283,37
2026.05.03 20:00:00,4620.35,4629.62,4611.2,4613.8,21285,35
2026.05.04 00:00:00,4613.69,4618.31,4590.85,4614.94,57540,35
