time,open,high,low,close,volume,spread
2026.04.13 01:58:00,4723.63,4723.63,4720.57,4721.2,496,42
2026.04.13 02:00:00,4721.22,4725.53,4719.27,4721.28,612,42
2026.04.13 02:02:00,4721.29,4721.53,4718.86,4719.25,537,42
2026.04.13 02:04:00,4719.26,4723.51,4718.95,4720.15,531,42
2026.04.13 02:06:00,4719.95,4722.24,4719.17,4719.81,519,42
2026.04.13 02:08:00,4719.8,4725.7,4719.78,4722.99,559,42
2026.04.13 02:10:00,4722.99,4723.62,4720.71,4721.27,571,42
2026.04.13 02:12:00,4721.28,4723.22,4720.99,4722.97,520,41
2026.04.13 02:14:00,4722.97,4724.33,4721.63,4721.9,524,41
2026.04.13 02:16:00,4721.92,4721.95,4719.59,4720.73,375,42
2026.04.13 02:18:00,4720.98,4723.8,4720.32,4722.02,421,42
2026.04.13 02:20:00,4722.02,4722.07,4719.69,4719.77,373,41
2026.04.13 02:22:00,4719.75,4721.01,4719.3,4720.17,367,42
2026.04.13 02:24:00,4720.2,4724.07,4719.83,4723.94,385,42
2026.04.13 02:26:00,4723.96,4724.71,4721.91,4722.09,469,42
2026.04.13 02:28:00,4722.11,4722.46,4719.18,4719.89,417,42
2026.04.13 02:30:00,4719.88,4726.59,4719.39,4725.98,620,42
2026.04.13 02:32:00,4726.11,4727.82,4721.56,4722.14,650,42
2026.04.13 02:34:00,4722.14,4725.39,4721.59,4722.38,587,42
2026.04.13 02:36:00,4722.56,4723.09,4719.71,4721.54,545,42
2026.04.13 02:38:00,4721.58,4721.66,4715.95,4715.95,538,42
2026.04.13 02:40:00,4715.8,4719.23,4715.08,4719.08,547,35
2026.04.13 02:42:00,4719.08,4719.46,4715.71,4716.41,537,42
2026.04.13 02:44:00,4716.38,4717.85,4714.65,4717.85,557,41
2026.04.13 02:46:00,4717.87,4718.03,4712.52,4712.74,587,42
2026.04.13 02:48:00,4712.72,4713.22,4711.11,4712.42,550,42
2026.04.13 02:50:00,4712.42,4713.53,4711.3,4712.77,541,42
2026.04.13 02:52:00,4712.75,4716.0,4712.48,4715.82,410,42
2026.04.13 02:54:00,4715.81,4720.26,4715.54,4720.06,541,42
2026.04.13 02:56:00,4720.0,4720.92,4718.75,4718.78,482,42
2026.04.13 02:58:00,4718.8,4721.48,4718.78,4720.34,410,42
2026.04.13 03:00:00,4720.32,4721.64,4717.81,4718.61,457,35
2026.04.13 03:02:00,4718.61,4718.87,4716.97,4717.07,411,42
2026.04.13 03:04:00,4717.04,4717.04,4714.03,4714.57,432,42
2026.04.13 03:06:00,4714.55,4715.07,4712.5,4714.85,476,42
2026.04.13 03:08:00,4714.84,4715.26,4713.62,4714.53,450,42
2026.04.13 03:10:00,4714.56,4715.03,4712.05,4712.49,542,42
2026.04.13 03:12:00,4712.51,4715.34,4712.44,4714.91,482,42
2026.04.13 03:14:00,4714.91,4715.34,4712.86,4714.44,545,42
2026.04.13 03:16:00,4714.41,4716.66,4714.33,4716.08,478,42
2026.04.13 03:18:00,4716.08,4717.22,4714.8,4715.1,416,42
2026.04.13 03:20:00,4715.1,4716.05,4713.72,4715.69,484,42
2026.04.13 03:22:00,4715.7,4716.8,4715.25,4716.54,443,41
2026.04.13 03:24:00,4716.57,4718.74,4716.28,4718.37,461,42
2026.04.13 03:26:00,4718.39,4720.93,4718.04,4720.53,534,42
2026.04.13 03:28:00,4720.57,4720.77,4718.48,4718.87,534,42
2026.04.13 03:30:00,4718.9,4720.36,4718.62,4718.7,403,42
2026.04.13 03:32:00,4718.72,4720.63,4718.29,4720.63,367,42
2026.04.13 03:34:00,4720.65,4721.79,4719.17,4720.45,422,42
2026.04.13 03:36:00,4720.45,4720.47,4717.37,4718.42,353,42
2026.04.13 03:38:00,4718.42,4719.21,4717.89,4718.63,335,42
2026.04.13 03:40:00,4718.63,4723.64,4718.48,4723.27,431,35
2026.04.13 03:42:00,4723.32,4724.11,4722.19,4722.9,436,42
2026.04.13 03:44:00,4722.83,4723.13,4721.24,4721.29,351,42
2026.04.13 03:46:00,4721.29,4722.44,4719.37,4719.57,424,42
2026.04.13 03:48:00,4719.57,4720.67,4718.7,4720.67,367,42
2026.04.13 03:50:00,4720.58,4720.75,4718.85,4718.96,342,42
2026.04.13 03:52:00,4718.96,4719.13,4717.79,4718.68,308,42
2026.04.13 03:54:00,4718.55,4718.97,4718.1,4718.35,212,42
2026.04.13 03:56:00,4718.32,4718.36,4717.27,4718.2,221,42
2026.04.13 03:58:00,4718.19,4720.23,4718.04,4718.07,289,42
2026.04.13 04:00:00,4718.07,4718.42,4713.98,4714.19,350,42
2026.04.13 04:02:00,4714.12,4715.63,4713.04,4715.51,410,42
2026.04.13 04:04:00,4715.35,4715.4,4714.15,4714.79,283,42
2026.04.13 04:06:00,4714.86,4714.96,4707.96,4711.83,322,42
2026.04.13 04:08:00,4711.83,4714.24,4711.8,4712.52,388,42
2026.04.13 04:10:00,4712.53,4713.19,4710.84,4712.84,373,42
2026.04.13 04:12:00,4712.84,4714.61,4712.23,4714.58,309,42
2026.04.13 04:14:00,4714.61,4714.96,4714.04,4714.75,265,42
2026.04.13 04:16:00,4714.73,4715.86,4713.16,4713.65,330,42
2026.04.13 04:18:00,4713.65,4713.66,4710.62,4712.17,374,42
2026.04.13 04:20:00,4712.18,4712.31,4709.63,4710.59,330,42
2026.04.13 04:22:00,4710.57,4711.22,4710.17,4710.47,293,42
2026.04.13 04:24:00,4710.45,4715.45,4710.36,4714.32,316,42
2026.04.13 04:26:00,4714.39,4714.51,4712.22,4713.17,246,42
2026.04.13 04:28:00,4713.15,4713.43,4712.38,4712.63,246,42
2026.04.13 04:30:00,4712.63,4713.75,4711.74,4711.96,290,42
2026.04.13 04:32:00,4711.81,4712.42,4708.91,4712.33,445,42
2026.04.13 04:34:00,4712.37,4713.33,4711.92,4712.04,350,42
2026.04.13 04:36:00,4712.05,4712.14,4710.32,4710.49,312,42
2026.04.13 04:38:00,4710.5,4712.39,4710.27,4712.11,328,42
2026.04.13 04:40:00,4712.12,4714.63,4712.12,4714.4,337,42
2026.04.13 04:42:00,4714.45,4719.4,4714.31,4718.22,426,42
2026.04.13 04:44:00,4718.22,4719.53,4715.99,4716.45,390,42
2026.04.13 04:46:00,4716.46,4718.61,4716.46,4716.97,277,42
2026.04.13 04:48:00,4716.97,4719.17,4716.42,4718.78,246,42
2026.04.13 04:50:00,4718.72,4719.73,4717.98,4719.73,330,42
2026.04.13 04:52:00,4719.73,4722.02,4718.98,4721.58,327,42
