time,open,high,low,close,volume,spread
2026.04.13 02:00:00,4721.22,4725.7,4718.86,4719.89,7180,41
2026.04.13 02:30:00,4719.88,4727.82,4711.11,4720.34,8102,35
2026.04.13 03:00:00,4720.32,4721.64,4712.05,4718.87,7145,35
2026.04.13 03:30:00,4718.9,4724.11,4717.27,4718.07,5261,35
2026.04.13 04:00:00,4718.07,4718.42,4707.96,4712.63,4835,42
2026.04.13 04:30:00,4712.63,4724.92,4708.91,4723.01,5334,42
2026.04.13 05:00:00,4723.0,4726.11,4716.25,4720.46,5466,42
2026.04.13 05:30:00,4720.02,4730.59,4717.9,4729.3,7690,35
2026.04.13 06:00:00,4729.32,4731.82,4723.53,4731.27,8123,35
2026.04.13 06:30:00,4731.46,4732.55,4721.0,4725.56,7289,35
2026.04.13 07:00:00,4725.75,4738.67,4724.85,4730.8,7814,35
2026.04.13 07:30:00,4730.96,4739.91,4727.42,4733.68,7607,35
2026.04.13 08:00:00,4733.61,4738.51,4729.94,4731.95,7328,35
2026.04.13 08:30:00,4731.96,4736.3,4720.18,4723.24,7029,35
2026.04.13 09:00:00,4723.24,4728.45,4713.94,4715.12,7063,35
2026.04.13 09:30:00,4715.18,4719.71,4710.41,4714.56,6555,35
2026.04.13 10:00:00,4714.59,4718.91,4708.33,4712.48,6216,35
2026.04.13 10:30:00,4712.57,4723.83,4711.67,4721.98,6447,35
2026.04.13 11:00:00,4722.1,4729.11,4718.36,4720.95,7253,35
2026.04.13 11:30:00,4720.95,4722.31,4703.35,4706.92,8508,35
2026.04.13 12:00:00,4706.83,4720.04,4703.53,4710.55,8726,35
2026.04.13 12:30:00,4710.55,4725.07,4708.78,4723.52,9108,35
2026.04.13 13:00:00,4723.51,4737.66,4722.61,4733.27,10212,35
2026.04.13 13:30:00,4733.49,4745.39,4721.45,4730.7,11805,35
2026.04.13 14:00:00,4730.3,4731.26,4709.71,4715.33,11776,35
2026.04.13 14:30:00,4715.31,4723.3,4708.68,4719.01,10705,35
2026.04.13 15:00:00,4719.03,4719.83,4699.85,4703.65,11002,35
2026.04.13 15:30:00,4703.65,4717.99,4702.16,4714.47,9143,35
2026.04.13 16:00:00,4714.46,4734.03,4709.23,4730.18,9960,35
2026.04.13 16:30:00,4730.0,4746.44,4728.48,4732.94,11049,35
2026.04.13 17:00:00,4732.97,4749.8,4725.45,4743.05,9646,35
2026.04.13 17:30:00,4743.0,4747.34,4727.36,4729.9,8273,41
2026.04.13 18:00:00,4729.97,4732.85,4722.91,4727.19,7650,35
2026.04.13 18:30:00,4726.96,4740.59,4726.55,4738.28,8297,35
2026.04.13 19:00:00,4738.24,4744.09,4730.51,4743.1,7041,35
2026.04.13 19:30:00,4743.07,4747.31,4738.87,4741.07,7501,35
2026.04.13 20:00:00,4741.07,4743.95,4738.25,4739.21,3309,38
2026.04.13 20:30:00,4739.21,4741.83,4738.1,4740.11,3047,42
2026.04.13 22:00:00,4752.0,4753.25,4745.53,4748.58,4158,35
2026.04.13 22:30:00,4748.58,4759.61,4746.27,4757.89,5318,35
2026.04.13 23:00:00,4757.9,4765.7,4754.43,4755.26,5829,35
2026.04.13 23:30:00,4755.3,4761.66,4754.26,4757.47,5358,42
2026.04.14 00:00:00,4757.65,4767.57,4751.62,4762.27,7965,35
2026.04.14 00:30:00,4762.28,4775.88,4761.29,4769.8,7067,35
2026.04.14 01:00:00,4769.8,4776.84,4762.45,4770.32,10085,35
2026.04.14 01:30:00,4770.29,4773.55,4761.7,4764.66,8371,37
2026.04.14 02:00:00,4764.58,4772.38,4762.73,4768.75,6456,41
2026.04.14 02:30:00,4768.74,4777.14,4762.03,4774.95,7569,42
2026.04.14 03:00:00,4774.96,4775.5,4765.88,4768.34,6684,41
2026.04.14 03:30:00,4768.29,4771.85,4765.52,4767.94,4952,41
2026.04.14 04:00:00,4768.25,4776.91,4766.96,4775.86,4511,35
2026.04.14 04:30:00,4775.87,4776.12,4771.36,4774.06,4295,42
2026.04.14 05:00:00,4774.04,4774.14,4761.71,4764.61,6197,35
2026.04.14 05:30:00,4764.63,4767.06,4757.95,4760.0,8810,35
2026.04.14 06:00:00,4760.15,4769.56,4760.03,4767.66,7887,40
2026.04.14 06:30:00,4767.62,4782.82,4764.26,4782.07,8165,35
2026.04.14 07:00:00,4782.04,4796.35,4767.98,4772.72,10585,35
2026.04.14 07:30:00,4772.67,4780.62,4771.75,4777.13,8554,35
2026.04.14 08:00:00,4776.97,4786.42,4774.19,4785.95,8628,35
2026.04.14 08:30:00,4785.95,4789.89,4781.37,4786.84,7966,35
2026.04.14 09:00:00,4786.91,4789.2,4778.62,4778.62,7408,35
2026.04.14 09:30:00,4778.66,4782.3,4771.76,4778.13,7918,35
2026.04.14 10:00:00,4778.18,4787.92,4778.18,4783.87,7129,35
2026.04.14 10:30:00,4783.81,4784.48,4752.29,4768.27,8392,35
2026.04.14 11:00:00,4768.33,4782.89,4766.81,4778.16,7782,35
2026.04.14 11:30:00,4778.48,4782.95,4770.38,4774.99,8098,35
2026.04.14 12:00:00,4774.97,4777.56,4762.57,4769.14,9311,35
